Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FGA,FGM,FG3M,FG3A,BLK,FTA,FTM,PLUS_MINUS,PTS+REB+AST,PTS+AST,REB+AST
0022300538,"JAN 12, 2024",POR @ MIN,5,3,0,2,3,10,0,0,2,1,5,5,-34,10,8,5
0022300529,"JAN 11, 2024",POR @ OKC,14,2,0,3,3,13,4,4,8,0,4,2,-36,19,16,5
0022300514,"JAN 09, 2024",POR @ NYK,12,3,0,4,3,14,4,2,7,0,2,2,-26,19,15,7
0022300498,"JAN 07, 2024",POR @ BKN,38,11,0,4,2,25,13,5,10,0,8,7,7,53,49,15
0022300487,"JAN 05, 2024",POR @ DAL,6,4,0,5,2,8,1,1,4,0,3,3,-14,15,10,9
0022300472,"JAN 03, 2024",POR @ DAL,15,3,0,5,2,16,5,1,7,0,4,4,-31,23,18,8
0022300413,"DEC 26, 2023",POR vs. SAC,29,3,1,4,2,25,12,5,12,0,0,0,4,36,32,7
0022300399,"DEC 23, 2023",POR @ GSW,25,2,1,2,1,17,7,7,13,0,4,4,-8,29,27,4
0022300381,"DEC 21, 2023",POR vs. WAS,41,7,0,4,3,28,15,7,14,0,5,4,-2,52,48,11
0022300363,"DEC 19, 2023",POR vs. PHX,23,7,1,3,1,23,9,2,7,0,5,3,4,33,30,10
0022300348,"DEC 17, 2023",POR vs. GSW,24,7,1,3,4,20,9,0,5,0,6,6,-1,34,31,10
0022300341,"DEC 16, 2023",POR vs. DAL,33,6,2,8,3,22,13,2,8,0,5,5,4,47,39,14
0022300323,"DEC 14, 2023",POR vs. UTA,9,6,1,1,2,8,3,2,6,0,2,1,-24,16,15,7
0022300304,"DEC 11, 2023",POR @ LAC,38,4,0,1,3,23,10,5,11,1,13,13,-9,43,42,5
0022301226,"DEC 08, 2023",POR vs. DAL,30,8,1,5,6,21,10,4,10,0,6,6,-10,43,38,13
0022301214,"DEC 06, 2023",POR @ GSW,28,4,0,1,1,27,10,6,13,0,2,2,2,33,32,5
0022300074,"OCT 25, 2023",POR @ LAC,18,4,2,2,0,14,6,2,6,0,4,4,-27,24,22,6
