,Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FG3M,FG3A,BLK
0,0022001079,"MAY 16, 2021",IND @ TOR,25,5,3,16,6,1,2,0
1,0022001048,"MAY 13, 2021",IND vs. MIL,10,14,1,6,2,0,3,0
2,0022001035,"MAY 11, 2021",IND vs. PHI,16,15,0,13,2,2,2,0
3,0022001027,"MAY 10, 2021",IND @ CLE,21,9,2,20,2,1,3,4
4,0022001012,"MAY 08, 2021",IND vs. WAS,30,13,3,13,4,0,3,0
5,0022001000,"MAY 06, 2021",IND vs. ATL,30,9,1,8,4,3,3,0
6,0022000993,"MAY 05, 2021",IND vs. SAC,17,8,2,13,4,0,1,0
7,0022000976,"MAY 03, 2021",IND @ WAS,32,9,3,19,6,1,3,0
8,0022000963,"MAY 01, 2021",IND @ OKC,26,14,1,19,5,2,3,0
9,0022000861,"APR 18, 2021",IND @ ATL,18,5,2,14,4,2,4,0
10,0022000844,"APR 16, 2021",IND @ UTA,22,7,1,15,2,1,4,1
11,0022000461,"APR 14, 2021",IND @ HOU,22,7,0,11,4,0,3,0
12,0022000823,"APR 13, 2021",IND vs. LAC,20,2,1,13,3,1,4,0
13,0022000811,"APR 11, 2021",IND @ MEM,18,9,1,15,2,1,4,0
14,0022000790,"APR 09, 2021",IND @ ORL,16,6,0,15,4,1,2,2
15,0022000740,"APR 02, 2021",IND vs. CHA,8,4,1,10,2,0,0,0
16,0022000722,"MAR 31, 2021",IND vs. MIA,9,3,1,14,3,0,1,1
17,0022000707,"MAR 29, 2021",IND @ WAS,35,6,2,11,5,1,3,0
18,0022000690,"MAR 26, 2021",IND @ DAL,22,5,0,15,3,1,3,0
19,0022000667,"MAR 24, 2021",IND vs. DET,14,4,1,11,3,0,2,1
20,0022000659,"MAR 22, 2021",IND @ MIL,22,6,2,9,1,0,3,0
21,0022000645,"MAR 21, 2021",IND @ MIA,17,1,3,11,5,0,2,0
22,0022000632,"MAR 19, 2021",IND @ MIA,13,4,1,15,4,0,0,0
23,0022000617,"MAR 17, 2021",IND vs. BKN,18,11,4,11,4,1,2,1
24,0022000606,"MAR 15, 2021",IND @ DEN,10,10,0,9,2,0,1,0
25,0022000194,"MAR 13, 2021",IND @ PHX,22,10,4,13,5,1,2,1
26,0022000585,"MAR 12, 2021",IND @ LAL,20,8,0,14,3,0,3,1
27,0022000553,"MAR 04, 2021",IND vs. DEN,10,10,4,10,3,0,3,0
28,0022000543,"MAR 03, 2021",IND @ CLE,18,6,1,5,1,0,2,1
29,0022000530,"MAR 01, 2021",IND @ PHI,15,7,0,9,4,0,3,0
30,0022000515,"FEB 27, 2021",IND @ NYK,15,9,0,7,5,2,2,0
31,0022000505,"FEB 26, 2021",IND @ BOS,24,9,0,6,2,1,3,0
32,0022000489,"FEB 24, 2021",IND vs. GSW,22,4,2,16,6,0,2,1
33,0022000440,"FEB 17, 2021",IND @ MIN,36,10,3,16,3,1,2,1
34,0022000420,"FEB 15, 2021",IND vs. CHI,25,5,1,10,8,0,2,4
35,0022000407,"FEB 13, 2021",IND @ ATL,14,7,1,13,3,0,3,1
36,0022000391,"FEB 11, 2021",IND @ DET,26,8,3,8,1,2,4,2
37,0022000383,"FEB 10, 2021",IND @ BKN,18,4,2,9,2,2,6,1
38,0022000363,"FEB 07, 2021",IND vs. UTA,20,2,1,9,2,2,4,2
39,0022000343,"FEB 05, 2021",IND vs. NOP,8,5,0,6,3,0,1,1
40,0022000329,"FEB 03, 2021",IND @ MIL,33,6,0,12,2,3,5,0
41,0022000322,"FEB 02, 2021",IND vs. MEM,32,5,2,13,3,2,2,0
42,0022000307,"JAN 31, 2021",IND vs. PHI,21,3,0,8,6,0,5,0
43,0022000288,"JAN 29, 2021",IND @ CHA,22,6,0,11,4,0,1,0
44,0022000271,"JAN 27, 2021",IND @ CHA,22,10,1,11,5,2,3,0
45,0022000258,"JAN 25, 2021",IND vs. TOR,11,2,0,3,2,2,2,0
46,0022000249,"JAN 24, 2021",IND vs. TOR,10,5,0,19,3,0,3,0
47,0022000231,"JAN 22, 2021",IND vs. ORL,18,9,5,11,3,1,5,0
48,0022000217,"JAN 20, 2021",IND vs. DAL,25,4,0,10,4,3,4,1
49,0022000202,"JAN 17, 2021",IND @ LAC,19,6,2,14,1,0,3,0
50,0022000178,"JAN 14, 2021",IND @ POR,23,5,2,15,3,0,2,0
51,0022000163,"JAN 12, 2021",IND @ GSW,18,6,0,14,4,0,2,1
52,0022000156,"JAN 11, 2021",IND @ SAC,28,3,0,11,3,0,1,0
53,0022000135,"JAN 09, 2021",IND vs. PHX,28,4,0,22,3,0,4,0
54,0022000107,"JAN 06, 2021",IND vs. HOU,22,4,0,12,5,0,0,1
55,0022000100,"JAN 04, 2021",IND @ NOP,19,7,0,11,5,1,3,2
56,0022000080,"JAN 02, 2021",IND vs. NYK,13,4,2,13,4,1,1,0
57,0022000062,"DEC 31, 2020",IND vs. CLE,25,7,0,11,1,2,2,0
58,0022000048,"DEC 29, 2020",IND vs. BOS,14,8,2,11,2,1,2,1
59,0022000037,"DEC 27, 2020",IND vs. BOS,19,5,0,10,4,2,4,1
60,0022000026,"DEC 26, 2020",IND @ CHI,22,11,1,10,5,0,1,0
61,0022000011,"DEC 23, 2020",IND vs. NYK,32,5,1,13,4,2,4,0
