Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FGA,FGM,FG3M,FG3A,BLK,FTA,FTM,PLUS_MINUS,PTS+REB+AST
0022300529,"JAN 11, 2024",OKC vs. POR,13,12,0,10,1,5,5,0,0,3,3,3,46,35
0022300522,"JAN 10, 2024",OKC @ MIA,9,2,1,7,2,5,3,1,2,0,2,2,7,18
0022300508,"JAN 08, 2024",OKC @ WAS,9,9,2,6,1,11,4,1,3,0,0,0,22,24
0022300481,"JAN 05, 2024",OKC @ BKN,13,5,1,8,2,9,5,0,1,1,4,3,-7,26
0022300467,"JAN 03, 2024",OKC @ ATL,9,4,1,3,2,7,3,2,3,0,2,1,1,16
0022300462,"JAN 02, 2024",OKC vs. BOS,23,6,0,8,3,14,8,4,7,0,3,3,10,37
0022300447,"DEC 31, 2023",OKC vs. BKN,20,5,0,6,2,16,8,4,8,0,0,0,4,31
0022300435,"DEC 29, 2023",OKC @ DEN,12,4,1,8,3,10,6,0,1,0,0,0,16,24
0022300419,"DEC 27, 2023",OKC vs. NYK,7,2,0,6,2,4,3,0,0,2,2,1,11,15
0022300411,"DEC 26, 2023",OKC vs. MIN,10,7,0,2,2,7,4,0,2,0,2,2,21,19
0022300379,"DEC 21, 2023",OKC vs. LAC,11,4,0,3,5,5,4,3,3,0,0,0,2,18
0022300355,"DEC 18, 2023",OKC vs. MEM,16,4,1,12,1,12,6,0,4,0,4,4,16,32
0022300340,"DEC 16, 2023",OKC @ DEN,4,4,0,2,1,4,2,0,1,0,0,0,-7,10
0022300324,"DEC 14, 2023",OKC @ SAC,18,4,2,8,4,14,8,2,3,1,0,0,10,30
0022300302,"DEC 11, 2023",OKC vs. UTA,12,8,1,10,3,11,5,2,3,1,0,0,17,30
0022301222,"DEC 08, 2023",OKC vs. GSW,9,4,3,9,1,12,4,1,6,0,0,0,-10,22
0022301212,"DEC 06, 2023",OKC @ HOU,8,6,1,4,0,11,3,2,5,0,0,0,-11,18
0022300287,"DEC 02, 2023",OKC @ DAL,10,1,0,3,2,13,4,2,6,0,0,0,1,14
0022300271,"NOV 30, 2023",OKC vs. LAL,14,1,1,8,4,10,5,2,5,0,2,2,6,23
0022300058,"NOV 28, 2023",OKC @ MIN,10,1,0,6,2,8,4,0,1,0,4,2,-10,17
0022300239,"NOV 25, 2023",OKC vs. PHI,10,8,0,7,1,12,4,0,1,0,2,2,-13,25
0022300234,"NOV 22, 2023",OKC vs. CHI,10,2,2,6,2,13,4,1,3,0,2,1,3,18
0022300215,"NOV 19, 2023",OKC @ POR,6,5,1,4,4,6,3,0,0,0,0,0,12,15
0022300207,"NOV 18, 2023",OKC @ GSW,11,2,1,5,0,10,4,1,2,2,2,2,4,18
0022300201,"NOV 16, 2023",OKC @ GSW,19,1,2,6,3,14,8,3,3,0,0,0,-3,26
0022300021,"NOV 14, 2023",OKC vs. SAS,18,7,0,7,3,11,7,0,2,2,5,4,20,32
0022300185,"NOV 12, 2023",OKC @ PHX,10,10,2,6,4,12,5,0,1,2,0,0,17,26
0022300016,"NOV 10, 2023",OKC @ SAC,13,5,0,4,4,10,6,0,1,0,1,1,-19,22
0022300167,"NOV 08, 2023",OKC vs. CLE,8,6,2,5,1,11,4,0,2,1,0,0,2,19
0022300155,"NOV 06, 2023",OKC vs. ATL,8,4,0,7,4,13,4,0,0,0,0,0,8,19
0022300005,"NOV 03, 2023",OKC vs. GSW,18,4,0,5,6,15,8,0,3,0,2,2,4,27
0022300121,"NOV 01, 2023",OKC vs. NOP,15,4,1,9,2,16,6,1,4,1,2,2,-6,28
0022300109,"OCT 30, 2023",OKC vs. DET,21,3,1,7,1,18,9,0,2,1,5,3,10,31
0022300095,"OCT 29, 2023",OKC vs. DEN,9,3,1,2,2,13,4,1,2,0,0,0,-18,14
0022300081,"OCT 27, 2023",OKC @ CLE,2,6,0,6,3,8,1,0,1,0,0,0,-12,14
0022300070,"OCT 25, 2023",OKC @ CHI,16,6,0,6,3,14,7,2,3,0,0,0,19,28
