,Game_ID,PTS,AST,STL,REB,TOV,FG3M,FG3A,BLK,PTS+REB,PTS+AST,PTS+REB+AST,REB+AST,BLKS+STLS
0,0021900969,42,11,0,2,6,6,12,0,44,53,55,13,0
1,0021900957,31,16,0,4,6,6,13,0,35,47,51,20,0
2,0021900943,16,4,2,5,5,1,10,0,21,20,25,9,2
3,0021900905,19,2,1,1,7,0,4,1,20,21,22,3,2
4,0021900888,25,15,0,4,2,1,8,0,29,40,44,19,0
5,0021900878,22,14,1,2,3,1,6,0,24,36,38,16,1
6,0021900867,37,11,1,2,2,4,12,1,39,48,50,13,2
7,0021900850,28,10,0,7,3,2,11,0,35,38,45,17,0
8,0021900837,25,10,0,6,5,3,8,0,31,35,41,16,0
9,0021900821,50,8,2,2,7,8,15,1,52,58,60,10,3
10,0021900807,27,12,2,3,4,2,7,0,30,39,42,15,2
11,0021900795,29,9,0,1,4,3,11,0,30,38,39,10,0
12,0021900787,48,13,2,1,7,6,13,0,49,61,62,14,2
13,0021900759,38,11,1,4,3,6,13,0,42,49,53,15,1
14,0021900745,34,7,2,3,9,4,11,0,37,41,44,10,2
15,0021900733,12,1,0,6,4,1,6,0,18,13,19,7,0
16,0021900716,39,18,2,6,7,3,9,0,45,57,63,24,2
17,0021900703,18,13,0,2,7,1,7,0,20,31,33,15,0
18,0021900687,45,14,1,6,5,6,11,0,51,59,65,20,1
19,0021900677,26,16,1,2,1,2,8,0,28,42,44,18,1
20,0021900640,42,15,1,6,7,2,7,0,48,57,63,21,1
21,0021900629,16,7,1,8,4,2,7,0,24,23,31,15,1
22,0021900624,31,9,1,5,3,6,9,1,36,40,45,14,2
23,0021900598,36,10,2,4,6,5,12,1,40,46,50,14,3
24,0021900567,19,7,2,4,6,0,7,0,23,26,30,11,2
25,0021900558,42,10,0,13,3,4,11,1,55,52,65,23,1
26,0021900543,29,12,0,4,7,4,5,0,33,41,45,16,0
27,0021900526,41,8,2,4,4,5,13,0,45,49,53,12,2
28,0021900517,28,10,0,5,6,5,14,0,33,38,43,15,0
29,0021900469,12,2,0,0,4,2,4,0,12,14,14,2,0
30,0021900444,30,11,4,6,5,5,14,0,36,41,47,17,4
31,0021900431,47,6,1,8,5,3,12,0,55,53,61,14,1
32,0021900416,30,8,1,5,2,3,11,0,35,38,43,13,1
33,0021900403,42,8,0,4,3,7,13,0,46,50,54,12,0
34,0021900390,30,7,2,6,6,3,11,0,36,37,43,13,2
35,0021900373,23,8,0,7,2,3,10,1,30,31,38,15,1
36,0021900361,15,13,2,2,7,1,6,0,17,28,30,15,2
37,0021900354,21,9,0,4,4,3,11,0,25,30,34,13,0
38,0021900336,30,9,0,7,2,4,13,0,37,39,46,16,0
39,0021900309,39,10,1,3,6,5,9,0,42,49,52,13,1
40,0021900295,24,7,0,1,7,2,6,0,25,31,32,8,0
41,0021900282,37,7,0,3,3,5,9,0,40,44,47,10,0
42,0021900272,49,6,2,1,9,8,15,0,50,55,56,7,2
43,0021900261,29,7,1,4,3,3,7,0,33,36,40,11,1
44,0021900243,37,9,0,6,7,5,11,0,43,46,52,15,0
45,0021900228,30,10,1,10,3,4,11,0,40,40,50,20,1
46,0021900215,9,8,1,6,5,1,7,0,15,17,23,14,1
47,0021900204,25,8,3,2,2,1,5,0,27,33,35,10,3
48,0021900188,31,7,2,3,8,2,8,0,34,38,41,10,2
49,0021900182,20,6,1,5,3,2,7,0,25,26,31,11,1
50,0021900165,21,13,2,1,5,1,6,0,22,34,35,14,2
51,0021900150,42,11,0,4,6,8,13,1,46,53,57,15,1
52,0021900138,35,10,3,8,7,3,13,0,43,45,53,18,3
53,0021900119,30,12,5,2,5,3,10,0,32,42,44,14,5
54,0021900105,9,3,0,3,4,0,8,0,12,12,15,6,0
55,0021900099,29,13,2,2,3,5,10,0,31,42,44,15,2
56,0021900052,5,2,1,2,2,1,3,0,7,7,9,4,1
57,0021900043,25,9,0,4,7,2,5,0,29,34,38,13,0
58,0021900028,39,9,2,7,5,5,10,0,46,48,55,16,2
59,0021900014,38,9,1,7,6,6,10,0,45,47,54,16,1
